model,year,weight_by,vector_size,window,min_count,approach,epochs,similarity_score,analogy_score
w2v_y1641_wbnone_vs200_w5_mc20_sg1_e10.kv,1641,none,200,5,20,1,10,-0.343640319023577,0.0625
w2v_y1657_wbnone_vs200_w5_mc20_sg1_e10.kv,1657,none,200,5,20,1,10,0.1475130878332017,0.06818181818181818
w2v_y1682_wbnone_vs200_w5_mc20_sg1_e10.kv,1682,none,200,5,20,1,10,0.16092612228550895,0.06493506493506493
w2v_y1697_wbnone_vs200_w5_mc20_sg1_e10.kv,1697,none,200,5,20,1,10,0.09649934277819808,0.11392405063291139
w2v_y1658_wbnone_vs200_w5_mc20_sg1_e10.kv,1658,none,200,5,20,1,10,0.24912406067059906,0.02459016393442623
w2v_y1670_wbnone_vs200_w5_mc20_sg1_e10.kv,1670,none,200,5,20,1,10,0.04896900947937421,0.047058823529411764
w2v_y1651_wbnone_vs200_w5_mc20_sg1_e10.kv,1651,none,200,5,20,1,10,0.06633203286775885,0.03409090909090909
w2v_y1676_wbnone_vs200_w5_mc20_sg1_e10.kv,1676,none,200,5,20,1,10,0.18523020139566207,0.05485232067510549
w2v_y1669_wbnone_vs200_w5_mc20_sg1_e10.kv,1669,none,200,5,20,1,10,0.25098301243668636,0.05517241379310345
w2v_y1710_wbnone_vs200_w5_mc20_sg1_e10.kv,1710,none,200,5,20,1,10,0.2362533501314332,0.054380664652567974
w2v_y1666_wbnone_vs200_w5_mc20_sg1_e10.kv,1666,none,200,5,20,1,10,0.08382040557092356,0.16296296296296298
w2v_y1672_wbnone_vs200_w5_mc20_sg1_e10.kv,1672,none,200,5,20,1,10,0.11032527709759961,0.06923076923076923
w2v_y1661_wbnone_vs200_w5_mc20_sg1_e10.kv,1661,none,200,5,20,1,10,0.10294326122890887,0.017241379310344827
w2v_y1680_wbnone_vs200_w5_mc20_sg1_e10.kv,1680,none,200,5,20,1,10,0.041903069343919054,0.07766990291262135
w2v_y1674_wbnone_vs200_w5_mc20_sg1_e10.kv,1674,none,200,5,20,1,10,-0.1557572275929815,0.10476190476190476
w2v_y1678_wbnone_vs200_w5_mc20_sg1_e10.kv,1678,none,200,5,20,1,10,0.2844055621402106,0.04854368932038835
w2v_y1668_wbnone_vs200_w5_mc20_sg1_e10.kv,1668,none,200,5,20,1,10,0.20866921995485618,0.023255813953488372
w2v_y1679_wbnone_vs200_w5_mc20_sg1_e10.kv,1679,none,200,5,20,1,10,0.1532716362278269,0.0684931506849315
w2v_y1686_wbnone_vs200_w5_mc20_sg1_e10.kv,1686,none,200,5,20,1,10,-0.1208685530727782,0.01098901098901099
w2v_y1687_wbnone_vs200_w5_mc20_sg1_e10.kv,1687,none,200,5,20,1,10,0.20172343461952524,0.03
w2v_y1673_wbnone_vs200_w5_mc20_sg1_e10.kv,1673,none,200,5,20,1,10,0.0894725449748892,0.02912621359223301
w2v_y1663_wbnone_vs200_w5_mc20_sg1_e10.kv,1663,none,200,5,20,1,10,0.19261780332653244,0.09090909090909091
w2v_y1681_wbnone_vs200_w5_mc20_sg1_e10.kv,1681,none,200,5,20,1,10,0.280961582820063,0.06046511627906977
w2v_y1660_wbnone_vs200_w5_mc20_sg1_e10.kv,1660,none,200,5,20,1,10,0.25151357182698153,0.06976744186046512
w2v_y1675_wbnone_vs200_w5_mc20_sg1_e10.kv,1675,none,200,5,20,1,10,0.12272966559862114,0.06134969325153374
w2v_y1653_wbnone_vs200_w5_mc20_sg1_e10.kv,1653,none,200,5,20,1,10,0.11480721990118264,0.0
w2v_y1692_wbnone_vs200_w5_mc20_sg1_e10.kv,1692,none,200,5,20,1,10,0.1471041767807591,0.06481481481481481
w2v_y1694_wbnone_vs200_w5_mc20_sg1_e10.kv,1694,none,200,5,20,1,10,0.05918446785974534,0.05925925925925926
w2v_y1689_wbnone_vs200_w5_mc20_sg1_e10.kv,1689,none,200,5,20,1,10,0.13391112825594848,0.12371134020618557
w2v_y1696_wbnone_vs200_w5_mc20_sg1_e10.kv,1696,none,200,5,20,1,10,0.11196069560431846,0.0625
w2v_y1690_wbnone_vs200_w5_mc20_sg1_e10.kv,1690,none,200,5,20,1,10,0.16345488693521135,0.04201680672268908
w2v_y1695_wbnone_vs200_w5_mc20_sg1_e10.kv,1695,none,200,5,20,1,10,0.3431671049525352,0.047619047619047616
w2v_y1691_wbnone_vs200_w5_mc20_sg1_e10.kv,1691,none,200,5,20,1,10,0.15383138323801654,0.014814814814814815
w2v_y1662_wbnone_vs200_w5_mc20_sg1_e10.kv,1662,none,200,5,20,1,10,0.17654791677416545,0.06607929515418502
w2v_y1684_wbnone_vs200_w5_mc20_sg1_e10.kv,1684,none,200,5,20,1,10,0.10505852348321922,0.052132701421800945
w2v_y1667_wbnone_vs200_w5_mc20_sg1_e10.kv,1667,none,200,5,20,1,10,0.35054006643413416,0.0625
w2v_y1706_wbnone_vs200_w5_mc20_sg1_e10.kv,1706,none,200,5,20,1,10,0.3260345642284567,0.07079646017699115
w2v_y1699_wbnone_vs200_w5_mc20_sg1_e10.kv,1699,none,200,5,20,1,10,0.2625576812907068,0.099644128113879
w2v_y1665_wbnone_vs200_w5_mc20_sg1_e10.kv,1665,none,200,5,20,1,10,0.18955372223825112,0.08766233766233766
w2v_y1688_wbnone_vs200_w5_mc20_sg1_e10.kv,1688,none,200,5,20,1,10,0.17923409225862694,0.06896551724137931
w2v_y1685_wbnone_vs200_w5_mc20_sg1_e10.kv,1685,none,200,5,20,1,10,0.01651378005338279,0.08823529411764706
w2v_y1683_wbnone_vs200_w5_mc20_sg1_e10.kv,1683,none,200,5,20,1,10,0.11564067713961645,0.05343511450381679
w2v_y1702_wbnone_vs200_w5_mc20_sg1_e10.kv,1702,none,200,5,20,1,10,0.18629892951502597,0.05078125
w2v_y1693_wbnone_vs200_w5_mc20_sg1_e10.kv,1693,none,200,5,20,1,10,0.1714760494900021,0.10256410256410256
w2v_y1715_wbnone_vs200_w5_mc20_sg1_e10.kv,1715,none,200,5,20,1,10,0.2554504052271548,0.06301369863013699
w2v_y1703_wbnone_vs200_w5_mc20_sg1_e10.kv,1703,none,200,5,20,1,10,0.29054852051256935,0.0891089108910891
w2v_y1704_wbnone_vs200_w5_mc20_sg1_e10.kv,1704,none,200,5,20,1,10,0.1727986748329588,0.08080808080808081
w2v_y1709_wbnone_vs200_w5_mc20_sg1_e10.kv,1709,none,200,5,20,1,10,0.3058942282821839,0.045103092783505154
w2v_y1708_wbnone_vs200_w5_mc20_sg1_e10.kv,1708,none,200,5,20,1,10,0.27041602407373244,0.09798994974874371
w2v_y1705_wbnone_vs200_w5_mc20_sg1_e10.kv,1705,none,200,5,20,1,10,0.27761855485822545,0.10884353741496598
w2v_y1718_wbnone_vs200_w5_mc20_sg1_e10.kv,1718,none,200,5,20,1,10,0.16387538437798302,0.06069364161849711
w2v_y1713_wbnone_vs200_w5_mc20_sg1_e10.kv,1713,none,200,5,20,1,10,0.17278411808514668,0.05029585798816568
w2v_y1698_wbnone_vs200_w5_mc20_sg1_e10.kv,1698,none,200,5,20,1,10,0.16597679106576765,0.09653465346534654
w2v_y1701_wbnone_vs200_w5_mc20_sg1_e10.kv,1701,none,200,5,20,1,10,0.3364887489069232,0.10093896713615023
w2v_y1716_wbnone_vs200_w5_mc20_sg1_e10.kv,1716,none,200,5,20,1,10,0.14820358274361525,0.08021390374331551
w2v_y1707_wbnone_vs200_w5_mc20_sg1_e10.kv,1707,none,200,5,20,1,10,0.2675032096512532,0.10909090909090909
w2v_y1714_wbnone_vs200_w5_mc20_sg1_e10.kv,1714,none,200,5,20,1,10,0.2592153248874972,0.07478632478632478
w2v_y1711_wbnone_vs200_w5_mc20_sg1_e10.kv,1711,none,200,5,20,1,10,0.20930323667272474,0.0730593607305936
w2v_y1724_wbnone_vs200_w5_mc20_sg1_e10.kv,1724,none,200,5,20,1,10,0.19734970042513675,0.12300683371298406
w2v_y1712_wbnone_vs200_w5_mc20_sg1_e10.kv,1712,none,200,5,20,1,10,0.16543386494865245,0.07175925925925926
w2v_y1719_wbnone_vs200_w5_mc20_sg1_e10.kv,1719,none,200,5,20,1,10,0.21710314181450566,0.10964083175803403
w2v_y1731_wbnone_vs200_w5_mc20_sg1_e10.kv,1731,none,200,5,20,1,10,0.27084898755931625,0.1045531197301855
w2v_y1722_wbnone_vs200_w5_mc20_sg1_e10.kv,1722,none,200,5,20,1,10,0.2483601465611333,0.07977736549165121
w2v_y1725_wbnone_vs200_w5_mc20_sg1_e10.kv,1725,none,200,5,20,1,10,0.30270299082326163,0.07341269841269842
w2v_y1720_wbnone_vs200_w5_mc20_sg1_e10.kv,1720,none,200,5,20,1,10,0.3074880021531764,0.06746031746031746
w2v_y1732_wbnone_vs200_w5_mc20_sg1_e10.kv,1732,none,200,5,20,1,10,0.2525816413557823,0.10507246376811594
w2v_y1723_wbnone_vs200_w5_mc20_sg1_e10.kv,1723,none,200,5,20,1,10,0.21469414356014915,0.0703971119133574
w2v_y1717_wbnone_vs200_w5_mc20_sg1_e10.kv,1717,none,200,5,20,1,10,0.28029973002779585,0.07605177993527508
w2v_y1748_wbnone_vs200_w5_mc20_sg1_e10.kv,1748,none,200,5,20,1,10,0.24547735826050696,0.06958762886597938
w2v_y1734_wbnone_vs200_w5_mc20_sg1_e10.kv,1734,none,200,5,20,1,10,0.23109286691892178,0.07592592592592592
w2v_y1726_wbnone_vs200_w5_mc20_sg1_e10.kv,1726,none,200,5,20,1,10,0.3309967972389702,0.07402234636871509
w2v_y1736_wbnone_vs200_w5_mc20_sg1_e10.kv,1736,none,200,5,20,1,10,0.2939879709294989,0.11449016100178891
w2v_y1728_wbnone_vs200_w5_mc20_sg1_e10.kv,1728,none,200,5,20,1,10,0.27655530235858194,0.1109375
w2v_y1746_wbnone_vs200_w5_mc20_sg1_e10.kv,1746,none,200,5,20,1,10,0.2141119853860744,0.08249496981891348
w2v_y1739_wbnone_vs200_w5_mc20_sg1_e10.kv,1739,none,200,5,20,1,10,0.2714631797276888,0.11748251748251748
w2v_y1738_wbnone_vs200_w5_mc20_sg1_e10.kv,1738,none,200,5,20,1,10,0.2729938290617644,0.07922077922077922
w2v_y1733_wbnone_vs200_w5_mc20_sg1_e10.kv,1733,none,200,5,20,1,10,0.23538720618135017,0.06200317965023847
w2v_y1730_wbnone_vs200_w5_mc20_sg1_e10.kv,1730,none,200,5,20,1,10,0.2959574449218291,0.07953063885267275
w2v_y1740_wbnone_vs200_w5_mc20_sg1_e10.kv,1740,none,200,5,20,1,10,0.3470486281709534,0.07636887608069164
w2v_y1737_wbnone_vs200_w5_mc20_sg1_e10.kv,1737,none,200,5,20,1,10,0.30770721509247184,0.08732057416267942
w2v_y1721_wbnone_vs200_w5_mc20_sg1_e10.kv,1721,none,200,5,20,1,10,0.3625397822901576,0.05851063829787234
w2v_y1735_wbnone_vs200_w5_mc20_sg1_e10.kv,1735,none,200,5,20,1,10,0.24457600179042907,0.07100591715976332
w2v_y1729_wbnone_vs200_w5_mc20_sg1_e10.kv,1729,none,200,5,20,1,10,0.25301765447231434,0.066429418742586
w2v_y1742_wbnone_vs200_w5_mc20_sg1_e10.kv,1742,none,200,5,20,1,10,0.33400953379668924,0.07004608294930875
w2v_y1700_wbnone_vs200_w5_mc20_sg1_e10.kv,1700,none,200,5,20,1,10,0.3610006289394194,0.06463195691202872
w2v_y1745_wbnone_vs200_w5_mc20_sg1_e10.kv,1745,none,200,5,20,1,10,0.3045398918996944,0.10026385224274406
w2v_y1727_wbnone_vs200_w5_mc20_sg1_e10.kv,1727,none,200,5,20,1,10,0.24371099213520714,0.055853920515574654
w2v_y1743_wbnone_vs200_w5_mc20_sg1_e10.kv,1743,none,200,5,20,1,10,0.26371297009848393,0.05649717514124294
